Difficulty,Scene,Algorithm,Success Rate,Timeout Rate,Average Expanded Number,Average Planning Time,Average Current Cost,Average Action Number,Average Tick Time
single,RH,bfs,0.57,0.43,32.0,0.462,24.93,2.26,178.09
single,RH,obtea,0.73,0.13,51.0,0.185,30.7,2.89,89.21
single,RH,opt_h0_llm,0.87,0.13,29.13,0.174,33.64,3.23,65.02
single,RH,opt_h0,1.0,0.0,5.42,0.061,34.27,3.31,68.09
single,RH,hbtp,0.86,0.0,2.92,0.071,34.31,3.2,1009.03
single,VH,bfs,0.93,0.07,74.65,0.121,28.45,2.68,988.97
single,VH,obtea,1.0,0.0,7.52,0.004,27.02,2.6,63.45
single,VH,opt_h0_llm,1.0,0.0,4.29,0.002,27.02,2.6,45.12
single,VH,opt_h0,1.0,0.0,4.05,0.002,27.02,2.6,44.35
single,VH,hbtp,1.0,0.0,2.75,0.006,29.27,2.75,79.07
single,RHS,bfs,0.96,0.04,25.81,0.053,32.12,3.01,334.61
single,RHS,obtea,0.9,0.0,12.08,0.003,30.53,2.86,130.12
single,RHS,opt_h0_llm,1.0,0.0,17.63,0.005,32.38,3.07,176.95
single,RHS,opt_h0,1.0,0.0,5.15,0.002,32.38,3.07,63.03
single,RHS,hbtp,0.9,0.0,2.81,0.001,32.53,2.99,83.13
single,RW,bfs,1.0,0.0,6.97,0.005,15.31,1.68,126.6
single,RW,obtea,1.0,0.0,2.95,0.0,15.31,1.68,22.31
single,RW,opt_h0_llm,1.0,0.0,3.23,0.0,15.31,1.68,23.53
single,RW,opt_h0,1.0,0.0,2.83,0.0,15.31,1.68,24.47
single,RW,hbtp,1.0,0.0,1.72,0.001,15.31,1.68,37.34
multi,RH,bfs,0.06,0.94,55.03,0.993,34.33,3.0,5809.33
multi,RH,obtea,0.07,0.9,298.59,0.909,38.86,3.29,183.43
multi,RH,opt_h0_llm,0.25,0.75,120.77,0.835,57.68,5.4,280.64
multi,RH,opt_h0,0.64,0.36,21.99,0.606,65.66,6.19,343.83
multi,RH,hbtp,0.54,0.44,9.52,0.727,66.72,6.24,18227.94
multi,VH,bfs,0.31,0.69,277.81,0.742,43.26,3.87,991.06
multi,VH,obtea,0.93,0.03,430.16,0.213,53.18,5.12,5193.2
multi,VH,opt_h0_llm,0.94,0.06,195.99,0.153,54.19,5.23,1437.04
multi,VH,opt_h0,1.0,0.0,10.16,0.012,55.22,5.33,213.57
multi,VH,hbtp,0.96,0.01,8.03,0.034,57.12,5.41,845.53
multi,RHS,bfs,0.42,0.58,299.77,0.677,54.52,5.05,5777.81
multi,RHS,obtea,0.86,0.0,279.57,0.089,62.99,5.94,4763.5
multi,RHS,opt_h0_llm,0.99,0.01,151.9,0.068,64.22,6.1,1664.37
multi,RHS,opt_h0,1.0,0.0,15.37,0.008,63.95,6.09,336.67
multi,RHS,hbtp,0.86,0.0,16.77,0.043,65.55,6.13,667.35
multi,RW,bfs,0.9545454545454546,0.045454545454545456,86.864,0.073,25.48,3.24,454.48
multi,RW,obtea,1.0,0.0,17.727,0.004,29.14,3.45,171.05
multi,RW,opt_h0_llm,1.0,0.0,14.182,0.002,29.14,3.45,170.09
multi,RW,opt_h0,1.0,0.0,10.682,0.002,29.14,3.45,128.05
multi,RW,hbtp,1.0,0.0,3.773,0.001,30.23,3.59,165.41
