Action_Space_Size,Heuristic_Choice,Expanded_Number,Planning_Time_Total,Current_Cost,Error
15,-1,52.88,0.010028371810913086,58.64,0.0
15,0,17.75,0.00309312105178833,58.79,0.0
15,1,26.79,0.00583153247833252,58.64,0.0
20,-1,76.6,0.014385039806365968,58.64,0.0
20,0,21.94,0.004101085662841797,58.94,0.0
20,1,27.58,0.005867090225219727,58.64,0.0
25,-1,103.23,0.01685147523880005,58.64,0.0
25,0,25.08,0.005521450042724609,58.94,0.0
25,1,28.2,0.00705181360244751,58.64,0.0
30,-1,121.46,0.022791545391082763,58.64,0.0
30,0,25.39,0.0058501529693603515,58.79,0.0
30,1,29.45,0.010373861789703369,58.64,0.0
35,-1,154.9,0.03066997766494751,58.64,0.0
35,0,21.51,0.007221333980560303,58.64,0.0
35,1,32.51,0.011342995166778565,58.64,0.0
40,-1,192.55,0.04690355062484741,58.64,0.0
40,0,33.91,0.010968873500823975,58.94,0.0
40,1,36.31,0.012224140167236329,58.64,0.0
45,-1,212.0,0.05300707101821899,58.64,0.0
45,0,29.87,0.009782497882843017,58.79,0.0
45,1,35.5,0.017605087757110595,58.64,0.0
50,-1,247.89,0.07856025457382203,58.64,0.0
50,0,31.63,0.010502233505249023,58.79,0.0
50,1,35.75,0.014754970073699952,58.64,0.0
55,-1,291.41,0.10462061882019043,58.64,0.0
55,0,33.79,0.014925074577331544,58.79,0.0
55,1,37.07,0.01695650815963745,58.64,0.0
60,-1,308.94,0.10266760826110839,58.64,0.0
60,0,39.65,0.013815252780914307,58.79,0.0
60,1,40.52,0.019626855850219727,58.64,0.0
65,-1,373.03,0.16316545486450196,58.64,0.0
65,0,57.3,0.02612783193588257,58.94,0.0
65,1,49.91,0.031316330432891844,58.64,0.0
70,-1,387.19,0.1477787208557129,58.64,0.0
70,0,30.18,0.012273950576782227,58.64,0.0
70,1,45.19,0.023541574478149415,58.64,0.0
75,-1,466.11,0.2260812735557556,58.64,0.0
75,0,61.81,0.027405340671539307,58.94,0.0
75,1,66.45,0.038742315769195554,58.64,0.0
80,-1,500.02,0.30284686088562013,58.64,0.0
80,0,66.13,0.033602349758148194,58.94,0.0
80,1,54.05,0.035197052955627445,58.64,0.0
85,-1,511.57,0.2712429976463318,58.64,0.0
85,0,38.77,0.016570048332214357,58.79,0.0
85,1,46.74,0.030797169208526612,58.64,0.0
90,-1,599.73,0.4502918910980225,58.64,0.0
90,0,51.8,0.028080146312713623,58.79,0.0
90,1,48.42,0.03400723218917847,58.64,0.0
95,-1,693.56,0.626045732498169,58.64,0.0
95,0,33.14,0.017125771045684815,58.64,0.0
95,1,51.39,0.04019874811172485,58.64,0.0
100,-1,743.97,0.590391685962677,58.64,0.0
100,0,80.42,0.04515421152114868,58.94,0.0
100,1,55.21,0.04459813833236694,58.64,0.0
