Action_Space_Size,Heuristic_Choice,Expanded_Number,Planning_Time_Total,Current_Cost,Error
15,-1,2.5,0.00044048309326171875,5.91,0.91
20,-1,2.5,0.0004778170585632324,5.91,0.91
25,-1,2.5,0.0004314923286437988,5.91,0.91
30,-1,2.5,0.0005082201957702637,5.91,0.91
35,-1,2.5,0.0005409073829650879,5.91,0.91
40,-1,2.5,0.0006206417083740234,5.91,0.91
45,-1,2.5,0.0005904173851013183,5.91,0.91
50,-1,2.5,0.0006333613395690918,5.91,0.91
55,-1,2.5,0.00044989824295043945,5.91,0.91
60,-1,2.5,0.0004997777938842773,5.91,0.91
65,-1,2.5,0.0005034041404724121,5.91,0.91
70,-1,2.5,0.0005403971672058106,5.91,0.91
75,-1,2.5,0.0005932545661926269,5.91,0.91
80,-1,2.5,0.0005116701126098633,5.91,0.91
85,-1,2.5,0.00052168607711792,5.91,0.91
90,-1,2.5,0.0005928492546081543,5.91,0.91
95,-1,2.5,0.0006710600852966309,5.91,0.91
100,-1,2.5,0.0005817699432373047,5.91,0.91
